a,curr,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
2163,SAS,Golden State Warriors,W,112,107,8,13,W 4
2164,SAS,Phoenix Suns,L,104,108,8,14,L 1
2165,SAS,New York Knicks,L,109,121,8,15,L 2
2166,SAS,Denver Nuggets,W,123,111,9,15,W 1
2167,SAS,Denver Nuggets,L,112,127,9,16,L 1
2168,SAS,New Orleans Pelicans,W,112,97,10,16,W 1
2169,SAS,Charlotte Hornets,L,115,131,10,17,L 1
2170,SAS,Utah Jazz,W,128,126,11,17,W 1
2171,SAS,Sacramento Kings,L,114,121,11,18,L 1
2172,SAS,Los Angeles Clippers,W,116,92,12,18,W 1
2173,SAS,Los Angeles Lakers,W,138,110,13,18,W 2
2174,SAS,Detroit Pistons,W,144,109,14,18,W 3
2175,SAS,Utah Jazz,L,104,110,14,19,L 1
2176,SAS,Memphis Grizzlies,L,105,118,14,20,L 2
2177,SAS,Detroit Pistons,L,116,117,14,21,L 3
2178,SAS,Toronto Raptors,L,104,129,14,22,L 4
2179,SAS,Boston Celtics,W,99,97,15,22,W 1
2180,SAS,Philadelphia 76ers,L,100,119,15,23,L 1
2181,SAS,Brooklyn Nets,L,119,121,15,24,L 2
2182,SAS,New York Knicks,L,96,111,15,25,L 3
2183,SAS,Houston Rockets,L,124,128,15,26,L 4
2184,SAS,Cleveland Cavaliers,L,109,114,15,27,L 5
2185,SAS,Los Angeles Clippers,W,101,94,16,27,W 1
2186,SAS,Phoenix Suns,L,107,121,16,28,L 1
2187,SAS,Oklahoma City Thunder,W,118,96,17,28,W 1
2188,SAS,Brooklyn Nets,L,102,117,17,29,L 1
2189,SAS,Philadelphia 76ers,L,109,115,17,30,L 2
2190,SAS,Houston Rockets,W,134,104,18,30,W 1
2191,SAS,Memphis Grizzlies,L,110,118,18,31,L 1
2192,SAS,Chicago Bulls,W,131,122,19,31,W 1
2193,SAS,Phoenix Suns,L,110,115,19,32,L 1
2194,SAS,Golden State Warriors,L,120,124,19,33,L 2
2195,SAS,Miami Heat,L,95,112,19,34,L 3
2196,SAS,Houston Rockets,W,131,106,20,34,W 1
2197,SAS,Cleveland Cavaliers,L,92,105,20,35,L 1
2198,SAS,Atlanta Hawks,W,136,121,21,35,W 1
2199,SAS,New Orleans Pelicans,W,124,114,22,35,W 2
2200,SAS,Chicago Bulls,L,109,120,22,36,L 1
2201,SAS,Oklahoma City Thunder,W,114,106,23,36,W 1
2202,SAS,Washington Wizards,W,157,153,24,36,W 2
2203,SAS,Miami Heat,L,129,133,24,37,L 1
2204,SAS,Memphis Grizzlies,L,105,118,24,38,L 2
2205,SAS,Sacramento Kings,L,112,115,24,39,L 3
2206,SAS,Charlotte Hornets,L,117,123,24,40,L 4
2207,SAS,Los Angeles Lakers,W,117,110,25,40,W 1
2208,SAS,Toronto Raptors,L,104,119,25,41,L 1
2209,SAS,Utah Jazz,W,104,102,26,41,W 1
2210,SAS,Indiana Pacers,L,108,119,26,42,L 1
2211,SAS,Minnesota Timberwolves,L,139,149,26,43,L 2
2212,SAS,Oklahoma City Thunder,W,122,120,27,43,W 1
2213,SAS,New Orleans Pelicans,L,91,124,27,44,L 1
2214,SAS,Golden State Warriors,W,110,108,28,44,W 1
2215,SAS,Portland Trail Blazers,W,133,96,29,44,W 2
2216,SAS,New Orleans Pelicans,W,107,103,30,44,W 3
2217,SAS,Houston Rockets,W,123,120,31,44,W 4
2218,SAS,Memphis Grizzlies,L,111,112,31,45,L 1
2219,SAS,Portland Trail Blazers,W,130,111,32,45,W 1
2220,SAS,Portland Trail Blazers,W,113,92,33,45,W 2
2221,SAS,Denver Nuggets,W,116,97,34,45,W 3
2222,SAS,Minnesota Timberwolves,L,121,127,34,46,L 1
2223,SAS,Golden State Warriors,L,94,100,34,47,L 2
2224,SAS,Dallas Mavericks,L,120,130,34,48,L 3
2225,SAS,New Orleans Pelicans,L,103,113,34,49,L 4
2226,TOR,Washington Wizards,L,83,98,0,1,L 1
2227,TOR,Boston Celtics,W,115,83,1,1,W 1
2228,TOR,Dallas Mavericks,L,95,103,1,2,L 1
2229,TOR,Chicago Bulls,L,108,111,1,3,L 2
2230,TOR,Indiana Pacers,W,118,100,2,3,W 1
2231,TOR,Orlando Magic,W,110,109,3,3,W 2
2232,TOR,Indiana Pacers,W,97,94,4,3,W 3
2233,TOR,New York Knicks,W,113,104,5,3,W 4
2234,TOR,Washington Wizards,W,109,100,6,3,W 5
2235,TOR,Cleveland Cavaliers,L,101,102,6,4,L 1
2236,TOR,Brooklyn Nets,L,103,116,6,5,L 2
2237,TOR,Boston Celtics,L,88,104,6,6,L 3
2238,TOR,Philadelphia 76ers,W,115,109,7,6,W 1
2239,TOR,Detroit Pistons,L,121,127,7,7,L 1
2240,TOR,Portland Trail Blazers,L,113,118,7,8,L 2
2241,TOR,Utah Jazz,L,103,119,7,9,L 3
2242,TOR,Sacramento Kings,W,108,89,8,9,W 1
2243,TOR,Golden State Warriors,L,104,119,8,10,L 1
2244,TOR,Memphis Grizzlies,W,126,113,9,10,W 1
2245,TOR,Indiana Pacers,L,97,114,9,11,L 1
2246,TOR,Boston Celtics,L,97,109,9,12,L 2
2247,TOR,Memphis Grizzlies,L,91,98,9,13,L 3
2248,TOR,Milwaukee Bucks,W,97,93,10,13,W 1
2249,TOR,Washington Wizards,W,102,90,11,13,W 2
2250,TOR,Oklahoma City Thunder,L,109,110,11,14,L 1
2251,TOR,New York Knicks,W,90,87,12,14,W 1
2252,TOR,Sacramento Kings,W,124,101,13,14,W 2
2253,TOR,Brooklyn Nets,L,129,131,13,15,L 1
2254,TOR,Golden State Warriors,W,119,100,14,15,W 1
2255,TOR,Cleveland Cavaliers,L,99,144,14,16,L 1
2256,TOR,Philadelphia 76ers,L,109,114,14,17,L 2
2257,TOR,Los Angeles Clippers,W,116,108,15,17,W 1
2258,TOR,New York Knicks,W,120,105,16,17,W 2
2259,TOR,San Antonio Spurs,W,129,104,17,17,W 3
2260,TOR,Milwaukee Bucks,W,117,111,18,17,W 4
2261,TOR,Utah Jazz,W,122,108,19,17,W 5
2262,TOR,New Orleans Pelicans,W,105,101,20,17,W 6
2263,TOR,Phoenix Suns,L,95,99,20,18,L 1
2264,TOR,Detroit Pistons,L,87,103,20,19,L 2
2265,TOR,Milwaukee Bucks,W,103,96,21,19,W 1
2266,TOR,Miami Heat,L,99,104,21,20,L 1
2267,TOR,Dallas Mavericks,L,98,102,21,21,L 2
2268,TOR,Washington Wizards,W,109,105,22,21,W 1
2269,TOR,Portland Trail Blazers,L,105,114,22,22,L 1
2270,TOR,Charlotte Hornets,W,125,113,23,22,W 1
2271,TOR,Chicago Bulls,L,105,111,23,23,L 1
2272,TOR,Miami Heat,W,124,120,24,23,W 1
2273,TOR,Atlanta Hawks,W,106,100,25,23,W 2
2274,TOR,Miami Heat,W,110,106,26,23,W 3
2275,TOR,Chicago Bulls,W,127,120,27,23,W 4
2276,TOR,Atlanta Hawks,W,125,114,28,23,W 5
2277,TOR,Charlotte Hornets,W,116,101,29,23,W 6
2278,TOR,Oklahoma City Thunder,W,117,98,30,23,W 7
2279,TOR,Houston Rockets,W,139,120,31,23,W 8
2280,TOR,Denver Nuggets,L,109,110,31,24,L 1
2281,TOR,New Orleans Pelicans,L,90,120,31,25,L 2
2282,TOR,Minnesota Timberwolves,W,103,91,32,25,W 1
2283,TOR,Charlotte Hornets,L,93,125,32,26,L 1
2284,TOR,Atlanta Hawks,L,100,127,32,27,L 2
2285,TOR,Brooklyn Nets,W,133,97,33,27,W 1
2286,TOR,Brooklyn Nets,W,109,108,34,27,W 2
2287,TOR,Detroit Pistons,L,106,108,34,28,L 1
2288,TOR,Orlando Magic,L,97,103,34,29,L 2
2289,TOR,Cleveland Cavaliers,L,96,104,34,30,L 3
2290,TOR,San Antonio Spurs,W,119,104,35,30,W 1
2291,TOR,Phoenix Suns,W,117,112,36,30,W 2
2292,TOR,Denver Nuggets,W,127,115,37,30,W 3
2293,TOR,Los Angeles Lakers,W,114,103,38,30,W 4
2294,TOR,Los Angeles Clippers,W,103,100,39,30,W 5
2295,TOR,Los Angeles Lakers,L,123,128,39,31,L 1
2296,TOR,Philadelphia 76ers,W,93,88,40,31,W 1
2297,TOR,Chicago Bulls,L,99,113,40,32,L 1
2298,TOR,Cleveland Cavaliers,W,117,104,41,32,W 1
2299,TOR,Indiana Pacers,W,131,91,42,32,W 2
2300,TOR,Boston Celtics,W,115,112,43,32,W 3
2301,TOR,Minnesota Timberwolves,W,125,102,44,32,W 4
2302,TOR,Orlando Magic,W,102,89,45,32,W 5
2303,TOR,Miami Heat,L,109,114,45,33,L 1
2304,TOR,Atlanta Hawks,W,118,108,46,33,W 1
2305,TOR,Philadelphia 76ers,W,119,114,47,33,W 2
2306,TOR,Houston Rockets,W,117,115,48,33,W 3
2307,TOR,New York Knicks,L,94,105,48,34,L 1
2308,UTA,Oklahoma City Thunder,W,107,86,1,0,W 1
2309,UTA,Sacramento Kings,W,110,101,2,0,W 2
2310,UTA,Denver Nuggets,W,122,110,3,0,W 3
2311,UTA,Houston Rockets,W,122,91,4,0,W 4
2312,UTA,Chicago Bulls,L,99,107,4,1,L 1
2313,UTA,Milwaukee Bucks,W,107,95,5,1,W 1
2314,UTA,Sacramento Kings,W,119,113,6,1,W 2
2315,UTA,Atlanta Hawks,W,116,98,7,1,W 3
2316,UTA,Miami Heat,L,115,118,7,2,L 1
2317,UTA,Orlando Magic,L,100,107,7,3,L 2
2318,UTA,Atlanta Hawks,W,110,98,8,3,W 1
2319,UTA,Indiana Pacers,L,100,111,8,4,L 1
2320,UTA,Miami Heat,L,105,111,8,5,L 2
2321,UTA,Philadelphia 76ers,W,120,85,9,5,W 1
2322,UTA,Toronto Raptors,W,119,103,10,5,W 2
2323,UTA,Sacramento Kings,W,123,105,11,5,W 3
2324,UTA,Memphis Grizzlies,L,118,119,11,6,L 1
2325,UTA,Oklahoma City Thunder,W,110,104,12,6,W 1
2326,UTA,New Orleans Pelicans,L,97,98,12,7,L 1
2327,UTA,New Orleans Pelicans,W,127,105,13,7,W 1
2328,UTA,Portland Trail Blazers,W,129,107,14,7,W 2
2329,UTA,Boston Celtics,W,137,130,15,7,W 3
2330,UTA,Cleveland Cavaliers,W,109,108,16,7,W 4
2331,UTA,Minnesota Timberwolves,W,136,104,17,7,W 5
2332,UTA,Philadelphia 76ers,W,118,96,18,7,W 6
2333,UTA,Washington Wizards,W,123,98,19,7,W 7
2334,UTA,Los Angeles Clippers,W,124,103,20,7,W 8
2335,UTA,San Antonio Spurs,L,126,128,20,8,L 1
2336,UTA,Washington Wizards,L,103,109,20,9,L 2
2337,UTA,Charlotte Hornets,W,112,102,21,9,W 1
2338,UTA,Minnesota Timberwolves,W,128,116,22,9,W 2
2339,UTA,Dallas Mavericks,W,120,116,23,9,W 3
2340,UTA,San Antonio Spurs,W,110,104,24,9,W 4
2341,UTA,Portland Trail Blazers,W,120,105,25,9,W 5
2342,UTA,Minnesota Timberwolves,W,120,108,26,9,W 6
2343,UTA,Golden State Warriors,L,116,123,26,10,L 1
2344,UTA,New Orleans Pelicans,W,115,104,27,10,W 1
2345,UTA,Denver Nuggets,W,115,109,28,10,W 2
2346,UTA,Toronto Raptors,L,108,122,28,11,L 1
2347,UTA,Indiana Pacers,L,113,125,28,12,L 2
2348,UTA,Detroit Pistons,L,116,126,28,13,L 3
2349,UTA,Cleveland Cavaliers,L,91,111,28,14,L 4
2350,UTA,Denver Nuggets,W,125,102,29,14,W 1
2351,UTA,Los Angeles Lakers,L,95,101,29,15,L 1
2352,UTA,Houston Rockets,L,111,116,29,16,L 2
2353,UTA,Detroit Pistons,W,111,101,30,16,W 1
2354,UTA,Golden State Warriors,L,92,94,30,17,L 1
2355,UTA,Phoenix Suns,L,109,115,30,18,L 2
2356,UTA,Phoenix Suns,L,97,105,30,19,L 3
2357,UTA,Memphis Grizzlies,L,109,119,30,20,L 4
2358,UTA,Minnesota Timberwolves,L,106,126,30,21,L 5
2359,UTA,Denver Nuggets,W,108,104,31,21,W 1
2360,UTA,Brooklyn Nets,W,125,102,32,21,W 2
2361,UTA,New York Knicks,W,113,104,33,21,W 3
2362,UTA,Golden State Warriors,W,111,85,34,21,W 4
2363,UTA,Orlando Magic,W,114,99,35,21,W 5
2364,UTA,Houston Rockets,W,135,101,36,21,W 6
2365,UTA,Los Angeles Lakers,L,101,106,36,22,L 1
2366,UTA,Dallas Mavericks,W,114,109,37,22,W 1
2367,UTA,Phoenix Suns,W,118,114,38,22,W 2
2368,UTA,Houston Rockets,W,132,127,39,22,W 3
2369,UTA,New Orleans Pelicans,L,90,124,39,23,L 1
2370,UTA,Oklahoma City Thunder,W,116,103,40,23,W 1
2371,UTA,Dallas Mavericks,L,103,111,40,24,L 1
2372,UTA,Portland Trail Blazers,W,123,85,41,24,W 1
2373,UTA,San Antonio Spurs,L,102,104,41,25,L 1
2374,UTA,Sacramento Kings,W,134,125,42,25,W 1
2375,UTA,Milwaukee Bucks,L,111,117,42,26,L 1
2376,UTA,Chicago Bulls,W,125,110,43,26,W 1
2377,UTA,Los Angeles Clippers,W,121,92,44,26,W 2
2378,UTA,New York Knicks,W,108,93,45,26,W 3
2379,UTA,Brooklyn Nets,L,106,114,45,27,L 1
2380,UTA,Boston Celtics,L,97,125,45,28,L 2
2381,UTA,Charlotte Hornets,L,101,107,45,29,L 3
2382,UTA,Dallas Mavericks,L,100,114,45,30,L 4
2383,UTA,Los Angeles Clippers,L,115,121,45,31,L 5
2384,UTA,Los Angeles Lakers,W,122,109,46,31,W 1
2385,UTA,Golden State Warriors,L,107,111,46,32,L 1
2386,UTA,Memphis Grizzlies,W,121,115,47,32,W 1
2387,UTA,Oklahoma City Thunder,W,137,101,48,32,W 2
2388,UTA,Phoenix Suns,L,105,111,48,33,L 1
2389,UTA,Portland Trail Blazers,W,111,80,49,33,W 1
2390,WAS,Toronto Raptors,W,98,83,1,0,W 1
2391,WAS,Indiana Pacers,W,135,134,2,0,W 2
2392,WAS,Brooklyn Nets,L,90,104,2,1,L 1
2393,WAS,Boston Celtics,W,116,107,3,1,W 1
2394,WAS,Atlanta Hawks,W,122,111,4,1,W 2
2395,WAS,Boston Celtics,W,115,112,5,1,W 3
2396,WAS,Atlanta Hawks,L,111,118,5,2,L 1
2397,WAS,Toronto Raptors,L,100,109,5,3,L 2
2398,WAS,Memphis Grizzlies,W,115,87,6,3,W 1
2399,WAS,Milwaukee Bucks,W,101,94,7,3,W 2
2400,WAS,Cleveland Cavaliers,W,97,94,8,3,W 3
2401,WAS,Orlando Magic,W,104,92,9,3,W 4
2402,WAS,New Orleans Pelicans,W,105,100,10,3,W 5
2403,WAS,Charlotte Hornets,L,87,97,10,4,L 1
2404,WAS,Miami Heat,L,97,112,10,5,L 2
2405,WAS,Miami Heat,W,103,100,11,5,W 1
2406,WAS,Charlotte Hornets,L,103,109,11,6,L 1
2407,WAS,New Orleans Pelicans,L,102,127,11,7,L 2
2408,WAS,Oklahoma City Thunder,W,101,99,12,7,W 1
2409,WAS,Dallas Mavericks,W,120,114,13,7,W 2
2410,WAS,San Antonio Spurs,L,99,116,13,8,L 1
2411,WAS,Minnesota Timberwolves,W,115,107,14,8,W 1
2412,WAS,Cleveland Cavaliers,L,101,116,14,9,L 1
2413,WAS,Toronto Raptors,L,90,102,14,10,L 2
2414,WAS,Indiana Pacers,L,110,116,14,11,L 3
2415,WAS,Detroit Pistons,W,119,116,15,11,W 1
2416,WAS,Utah Jazz,L,98,123,15,12,L 1
2417,WAS,Denver Nuggets,L,107,113,15,13,L 2
2418,WAS,Sacramento Kings,L,105,119,15,14,L 3
2419,WAS,Phoenix Suns,L,98,118,15,15,L 4
2420,WAS,Utah Jazz,W,109,103,16,15,W 1
2421,WAS,New York Knicks,W,124,117,17,15,W 2
2422,WAS,Philadelphia 76ers,L,96,117,17,16,L 1
2423,WAS,Miami Heat,L,112,119,17,17,L 2
2424,WAS,Cleveland Cavaliers,W,110,93,18,17,W 1
2425,WAS,Chicago Bulls,L,119,120,18,18,L 1
2426,WAS,Charlotte Hornets,W,124,121,19,18,W 1
2427,WAS,Houston Rockets,L,111,114,19,19,L 1
2428,WAS,Chicago Bulls,L,122,130,19,20,L 2
2429,WAS,Orlando Magic,W,102,100,20,20,W 1
2430,WAS,Oklahoma City Thunder,W,122,118,21,20,W 2
2431,WAS,Orlando Magic,W,112,106,22,20,W 3
2432,WAS,Portland Trail Blazers,L,110,115,22,21,L 1
2433,WAS,Philadelphia 76ers,W,117,98,23,21,W 1
2434,WAS,Brooklyn Nets,L,118,119,23,22,L 1
2435,WAS,Toronto Raptors,L,105,109,23,23,L 2
2436,WAS,Boston Celtics,L,87,116,23,24,L 3
2437,WAS,Los Angeles Clippers,L,115,116,23,25,L 4
2438,WAS,Memphis Grizzlies,L,95,115,23,26,L 5
2439,WAS,Milwaukee Bucks,L,98,112,23,27,L 6
2440,WAS,Philadelphia 76ers,W,106,103,24,27,W 1
2441,WAS,Phoenix Suns,L,80,95,24,28,L 1
2442,WAS,Miami Heat,L,100,121,24,29,L 2
2443,WAS,Brooklyn Nets,W,113,112,25,29,W 1
2444,WAS,Sacramento Kings,L,110,123,25,30,L 1
2445,WAS,Detroit Pistons,W,103,94,26,30,W 1
2446,WAS,Indiana Pacers,L,108,113,26,31,L 1
2447,WAS,Brooklyn Nets,W,117,103,27,31,W 1
2448,WAS,San Antonio Spurs,L,153,157,27,32,L 1
2449,WAS,Cleveland Cavaliers,L,86,92,27,33,L 2
2450,WAS,Detroit Pistons,W,116,113,28,33,W 1
2451,WAS,Atlanta Hawks,L,114,117,28,34,L 1
2452,WAS,Indiana Pacers,W,133,123,29,34,W 1
2453,WAS,Los Angeles Clippers,L,109,115,29,35,L 1
2454,WAS,Los Angeles Lakers,L,109,122,29,36,L 2
2455,WAS,Portland Trail Blazers,L,118,127,29,37,L 3
2456,WAS,Golden State Warriors,L,112,126,29,38,L 4
2457,WAS,Denver Nuggets,L,109,127,29,39,L 5
2458,WAS,New York Knicks,L,97,100,29,40,L 6
2459,WAS,Los Angeles Lakers,W,127,119,30,40,W 1
2460,WAS,Houston Rockets,L,97,115,30,41,L 1
2461,WAS,Milwaukee Bucks,L,102,114,30,42,L 2
2462,WAS,Detroit Pistons,W,100,97,31,42,W 1
2463,WAS,Golden State Warriors,W,123,115,32,42,W 2
2464,WAS,Chicago Bulls,L,94,107,32,43,L 1
2465,WAS,Orlando Magic,W,127,110,33,43,W 1
2466,WAS,Dallas Mavericks,W,135,103,34,43,W 2
2467,WAS,Boston Celtics,L,102,144,34,44,L 1
2468,WAS,Minnesota Timberwolves,W,132,114,35,44,W 1
2469,WAS,Atlanta Hawks,L,103,118,35,45,L 1
2470,WAS,New York Knicks,L,92,114,35,46,L 2
2471,WAS,Charlotte Hornets,L,108,124,35,47,L 3
